id_site,rank,service_logic_leg,access_type,t1t7,rn,data
10,0,3,20,2250833,1,"{""id"" : -1, ""equipment_id"" : 53973, ""site_id"" : 10, ""rank"" : 0, ""load"" : 1, ""cdr_info"" : ""098993991"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : true, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : true, ""full_prefix"" : ""042250833"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
10,1,3,20,2250834,1,"{""id"" : -1, ""equipment_id"" : 53974, ""site_id"" : 10, ""rank"" : 1, ""load"" : 1, ""cdr_info"" : ""098993991"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : true, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : true, ""full_prefix"" : ""042250834"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
11,0,3,20,2250833,1,"{""id"" : -1, ""equipment_id"" : 53973, ""site_id"" : 11, ""rank"" : 0, ""load"" : 1, ""cdr_info"" : ""098993991"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : true, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : true, ""full_prefix"" : ""042250833"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
11,1,3,20,2250834,1,"{""id"" : -1, ""equipment_id"" : 53974, ""site_id"" : 11, ""rank"" : 1, ""load"" : 1, ""cdr_info"" : ""098993991"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : true, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : true, ""full_prefix"" : ""042250834"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
15,0,3,20,2320213,1,"{""id"" : -1, ""equipment_id"" : 56141, ""site_id"" : 15, ""rank"" : 0, ""load"" : 1, ""cdr_info"" : ""098993999"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : false, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : false, ""full_prefix"" : ""042320213"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
15,1,3,20,2321886,1,"{""id"" : -1, ""equipment_id"" : 178063, ""site_id"" : 15, ""rank"" : 1, ""load"" : 1, ""cdr_info"" : ""098993999"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : false, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : false, ""full_prefix"" : ""042321886"", ""calling_format"" : ""FORMATTED"", ""called_cli_policy"" : ""SIPDA""}"
18,0,3,20,2306070,1,"{""id"" : -1, ""equipment_id"" : 89881, ""site_id"" : 18, ""rank"" : 0, ""load"" : 1, ""cdr_info"" : ""098993999"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : false, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : false, ""full_prefix"" : ""042306070"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
21,0,3,20,2306070,1,"{""id"" : -1, ""equipment_id"" : 89881, ""site_id"" : 21, ""rank"" : 0, ""load"" : 1, ""cdr_info"" : ""098993999"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : false, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : false, ""full_prefix"" : ""042306070"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
28,0,3,20,2385347,1,"{""id"" : -1, ""equipment_id"" : 118381, ""site_id"" : 28, ""rank"" : 0, ""load"" : 1, ""cdr_info"" : ""098993861"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : true, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : false, ""full_prefix"" : ""042385347"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
32,0,3,20,2385347,1,"{""id"" : -1, ""equipment_id"" : 118381, ""site_id"" : 32, ""rank"" : 0, ""load"" : 1, ""cdr_info"" : ""098993861"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : true, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : false, ""full_prefix"" : ""042385347"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}"
