id_blacklist,name,blacklist
4739,allBlack,"{""blacklist"" : [{""id"" : 4739, ""name"" : ""allBlack"", ""vpn_id"" : ""4387""}], ""blacklist_content"" : [{""id"" : 310575105, ""blacklist_id"" : 4739, ""number"" : ""1*"", ""number_type"" : ""PUBLIC""}, {""id"" : 310575106, ""blacklist_id"" : 4739, ""number"" : ""2*"", ""number_type"" : ""PUBLIC""}, {""id"" : 310575107, ""blacklist_id"" : 4739, ""number"" : ""3*"", ""number_type"" : ""PUBLIC""}, {""id"" : 310575108, ""blacklist_id"" : 4739, ""number"" : ""4*"", ""number_type"" : ""PUBLIC""}, {""id"" : 310575109, ""blacklist_id"" : 4739, ""number"" : ""5*"", ""number_type"" : ""PUBLIC""}, {""id"" : 310575110, ""blacklist_id"" : 4739, ""number"" : ""6*"", ""number_type"" : ""PUBLIC""}, {""id"" : 310575111, ""blacklist_id"" : 4739, ""number"" : ""7*"", ""number_type"" : ""PUBLIC""}, {""id"" : 310575112, ""blacklist_id"" : 4739, ""number"" : ""8*"", ""number_type"" : ""PUBLIC""}, {""id"" : 310575113, ""blacklist_id"" : 4739, ""number"" : ""9*"", ""number_type"" : ""PUBLIC""}]}"
4751,allBlack,"{""blacklist"" : [{""id"" : 4751, ""name"" : ""allBlack"", ""vpn_id"" : ""3968""}], ""blacklist_content"" : [{""id"" : 311361537, ""blacklist_id"" : 4751, ""number"" : ""1*"", ""number_type"" : ""PUBLIC""}, {""id"" : 311361538, ""blacklist_id"" : 4751, ""number"" : ""2*"", ""number_type"" : ""PUBLIC""}, {""id"" : 311361539, ""blacklist_id"" : 4751, ""number"" : ""3*"", ""number_type"" : ""PUBLIC""}, {""id"" : 311361540, ""blacklist_id"" : 4751, ""number"" : ""4*"", ""number_type"" : ""PUBLIC""}, {""id"" : 311361541, ""blacklist_id"" : 4751, ""number"" : ""5*"", ""number_type"" : ""PUBLIC""}, {""id"" : 311361542, ""blacklist_id"" : 4751, ""number"" : ""6*"", ""number_type"" : ""PUBLIC""}, {""id"" : 311361543, ""blacklist_id"" : 4751, ""number"" : ""7*"", ""number_type"" : ""PUBLIC""}, {""id"" : 311361544, ""blacklist_id"" : 4751, ""number"" : ""8*"", ""number_type"" : ""PUBLIC""}, {""id"" : 311361545, ""blacklist_id"" : 4751, ""number"" : ""9*"", ""number_type"" : ""PUBLIC""}]}"
4756,allBlack,"{""blacklist"" : [{""id"" : 4756, ""name"" : ""allBlack"", ""vpn_id"" : ""4336""}], ""blacklist_content"" : [{""id"" : 311689217, ""blacklist_id"" : 4756, ""number"" : ""1*"", ""number_type"" : ""PUBLIC""}, {""id"" : 311689218, ""blacklist_id"" : 4756, ""number"" : ""2*"", ""number_type"" : ""PUBLIC""}, {""id"" : 311689219, ""blacklist_id"" : 4756, ""number"" : ""3*"", ""number_type"" : ""PUBLIC""}, {""id"" : 311689220, ""blacklist_id"" : 4756, ""number"" : ""4*"", ""number_type"" : ""PUBLIC""}, {""id"" : 311689221, ""blacklist_id"" : 4756, ""number"" : ""5*"", ""number_type"" : ""PUBLIC""}, {""id"" : 311689222, ""blacklist_id"" : 4756, ""number"" : ""6*"", ""number_type"" : ""PUBLIC""}, {""id"" : 311689223, ""blacklist_id"" : 4756, ""number"" : ""7*"", ""number_type"" : ""PUBLIC""}, {""id"" : 311689224, ""blacklist_id"" : 4756, ""number"" : ""8*"", ""number_type"" : ""PUBLIC""}, {""id"" : 311689225, ""blacklist_id"" : 4756, ""number"" : ""9*"", ""number_type"" : ""PUBLIC""}]}"
4765,allBlack,"{""blacklist"" : [{""id"" : 4765, ""name"" : ""allBlack"", ""vpn_id"" : ""3274""}], ""blacklist_content"" : [{""id"" : 312279041, ""blacklist_id"" : 4765, ""number"" : ""1*"", ""number_type"" : ""PUBLIC""}, {""id"" : 312279042, ""blacklist_id"" : 4765, ""number"" : ""2*"", ""number_type"" : ""PUBLIC""}, {""id"" : 312279043, ""blacklist_id"" : 4765, ""number"" : ""3*"", ""number_type"" : ""PUBLIC""}, {""id"" : 312279044, ""blacklist_id"" : 4765, ""number"" : ""4*"", ""number_type"" : ""PUBLIC""}, {""id"" : 312279045, ""blacklist_id"" : 4765, ""number"" : ""5*"", ""number_type"" : ""PUBLIC""}, {""id"" : 312279046, ""blacklist_id"" : 4765, ""number"" : ""6*"", ""number_type"" : ""PUBLIC""}, {""id"" : 312279047, ""blacklist_id"" : 4765, ""number"" : ""7*"", ""number_type"" : ""PUBLIC""}, {""id"" : 312279048, ""blacklist_id"" : 4765, ""number"" : ""8*"", ""number_type"" : ""PUBLIC""}, {""id"" : 312279049, ""blacklist_id"" : 4765, ""number"" : ""9*"", ""number_type"" : ""PUBLIC""}]}"
4771,allBlack,"{""blacklist"" : [{""id"" : 4771, ""name"" : ""allBlack"", ""vpn_id"" : ""4359""}], ""blacklist_content"" : [{""id"" : 312672257, ""blacklist_id"" : 4771, ""number"" : ""1*"", ""number_type"" : ""PUBLIC""}, {""id"" : 312672258, ""blacklist_id"" : 4771, ""number"" : ""2*"", ""number_type"" : ""PUBLIC""}, {""id"" : 312672259, ""blacklist_id"" : 4771, ""number"" : ""3*"", ""number_type"" : ""PUBLIC""}, {""id"" : 312672260, ""blacklist_id"" : 4771, ""number"" : ""4*"", ""number_type"" : ""PUBLIC""}, {""id"" : 312672261, ""blacklist_id"" : 4771, ""number"" : ""5*"", ""number_type"" : ""PUBLIC""}, {""id"" : 312672262, ""blacklist_id"" : 4771, ""number"" : ""6*"", ""number_type"" : ""PUBLIC""}, {""id"" : 312672263, ""blacklist_id"" : 4771, ""number"" : ""7*"", ""number_type"" : ""PUBLIC""}, {""id"" : 312672264, ""blacklist_id"" : 4771, ""number"" : ""8*"", ""number_type"" : ""PUBLIC""}, {""id"" : 312672265, ""blacklist_id"" : 4771, ""number"" : ""9*"", ""number_type"" : ""PUBLIC""}]}"
4852,allBlack,"{""blacklist"" : [{""id"" : 4852, ""name"" : ""allBlack"", ""vpn_id"" : ""4540""}], ""blacklist_content"" : [{""id"" : 317980673, ""blacklist_id"" : 4852, ""number"" : ""1*"", ""number_type"" : ""PUBLIC""}, {""id"" : 317980674, ""blacklist_id"" : 4852, ""number"" : ""2*"", ""number_type"" : ""PUBLIC""}, {""id"" : 317980675, ""blacklist_id"" : 4852, ""number"" : ""3*"", ""number_type"" : ""PUBLIC""}, {""id"" : 317980676, ""blacklist_id"" : 4852, ""number"" : ""4*"", ""number_type"" : ""PUBLIC""}, {""id"" : 317980677, ""blacklist_id"" : 4852, ""number"" : ""5*"", ""number_type"" : ""PUBLIC""}, {""id"" : 317980678, ""blacklist_id"" : 4852, ""number"" : ""6*"", ""number_type"" : ""PUBLIC""}, {""id"" : 317980679, ""blacklist_id"" : 4852, ""number"" : ""7*"", ""number_type"" : ""PUBLIC""}, {""id"" : 317980680, ""blacklist_id"" : 4852, ""number"" : ""8*"", ""number_type"" : ""PUBLIC""}, {""id"" : 317980681, ""blacklist_id"" : 4852, ""number"" : ""9*"", ""number_type"" : ""PUBLIC""}]}"
4875,allBlack,"{""blacklist"" : [{""id"" : 4875, ""name"" : ""allBlack"", ""vpn_id"" : ""4792""}], ""blacklist_content"" : [{""id"" : 319488001, ""blacklist_id"" : 4875, ""number"" : ""1*"", ""number_type"" : ""PUBLIC""}, {""id"" : 319488002, ""blacklist_id"" : 4875, ""number"" : ""2*"", ""number_type"" : ""PUBLIC""}, {""id"" : 319488003, ""blacklist_id"" : 4875, ""number"" : ""3*"", ""number_type"" : ""PUBLIC""}, {""id"" : 319488004, ""blacklist_id"" : 4875, ""number"" : ""4*"", ""number_type"" : ""PUBLIC""}, {""id"" : 319488005, ""blacklist_id"" : 4875, ""number"" : ""5*"", ""number_type"" : ""PUBLIC""}, {""id"" : 319488006, ""blacklist_id"" : 4875, ""number"" : ""6*"", ""number_type"" : ""PUBLIC""}, {""id"" : 319488007, ""blacklist_id"" : 4875, ""number"" : ""7*"", ""number_type"" : ""PUBLIC""}, {""id"" : 319488008, ""blacklist_id"" : 4875, ""number"" : ""8*"", ""number_type"" : ""PUBLIC""}, {""id"" : 319488009, ""blacklist_id"" : 4875, ""number"" : ""9*"", ""number_type"" : ""PUBLIC""}]}"
4876,allBlack,"{""blacklist"" : [{""id"" : 4876, ""name"" : ""allBlack"", ""vpn_id"" : ""3243""}], ""blacklist_content"" : [{""id"" : 319553537, ""blacklist_id"" : 4876, ""number"" : ""1*"", ""number_type"" : ""PUBLIC""}, {""id"" : 319553538, ""blacklist_id"" : 4876, ""number"" : ""2*"", ""number_type"" : ""PUBLIC""}, {""id"" : 319553539, ""blacklist_id"" : 4876, ""number"" : ""3*"", ""number_type"" : ""PUBLIC""}, {""id"" : 319553540, ""blacklist_id"" : 4876, ""number"" : ""4*"", ""number_type"" : ""PUBLIC""}, {""id"" : 319553541, ""blacklist_id"" : 4876, ""number"" : ""5*"", ""number_type"" : ""PUBLIC""}, {""id"" : 319553542, ""blacklist_id"" : 4876, ""number"" : ""6*"", ""number_type"" : ""PUBLIC""}, {""id"" : 319553543, ""blacklist_id"" : 4876, ""number"" : ""7*"", ""number_type"" : ""PUBLIC""}, {""id"" : 319553544, ""blacklist_id"" : 4876, ""number"" : ""8*"", ""number_type"" : ""PUBLIC""}, {""id"" : 319553545, ""blacklist_id"" : 4876, ""number"" : ""9*"", ""number_type"" : ""PUBLIC""}]}"
4879,allBlack,"{""blacklist"" : [{""id"" : 4879, ""name"" : ""allBlack"", ""vpn_id"" : ""4745""}], ""blacklist_content"" : [{""id"" : 319750145, ""blacklist_id"" : 4879, ""number"" : ""1*"", ""number_type"" : ""PUBLIC""}, {""id"" : 319750146, ""blacklist_id"" : 4879, ""number"" : ""2*"", ""number_type"" : ""PUBLIC""}, {""id"" : 319750147, ""blacklist_id"" : 4879, ""number"" : ""3*"", ""number_type"" : ""PUBLIC""}, {""id"" : 319750148, ""blacklist_id"" : 4879, ""number"" : ""4*"", ""number_type"" : ""PUBLIC""}, {""id"" : 319750149, ""blacklist_id"" : 4879, ""number"" : ""5*"", ""number_type"" : ""PUBLIC""}, {""id"" : 319750150, ""blacklist_id"" : 4879, ""number"" : ""6*"", ""number_type"" : ""PUBLIC""}, {""id"" : 319750151, ""blacklist_id"" : 4879, ""number"" : ""7*"", ""number_type"" : ""PUBLIC""}, {""id"" : 319750152, ""blacklist_id"" : 4879, ""number"" : ""8*"", ""number_type"" : ""PUBLIC""}, {""id"" : 319750153, ""blacklist_id"" : 4879, ""number"" : ""9*"", ""number_type"" : ""PUBLIC""}]}"
4885,allBlack,"{""blacklist"" : [{""id"" : 4885, ""name"" : ""allBlack"", ""vpn_id"" : ""4786""}], ""blacklist_content"" : [{""id"" : 320143361, ""blacklist_id"" : 4885, ""number"" : ""1*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320143362, ""blacklist_id"" : 4885, ""number"" : ""2*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320143363, ""blacklist_id"" : 4885, ""number"" : ""3*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320143364, ""blacklist_id"" : 4885, ""number"" : ""4*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320143365, ""blacklist_id"" : 4885, ""number"" : ""5*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320143366, ""blacklist_id"" : 4885, ""number"" : ""6*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320143367, ""blacklist_id"" : 4885, ""number"" : ""7*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320143368, ""blacklist_id"" : 4885, ""number"" : ""8*"", ""number_type"" : ""PUBLIC""}, {""id"" : 320143369, ""blacklist_id"" : 4885, ""number"" : ""9*"", ""number_type"" : ""PUBLIC""}]}"
