vpn_code,id_equip,data
10005069,61694,"{""id"" : 61694, ""name"" : ""2246737"", ""t1t7"" : ""2246737"", ""vpn_id"" : ""10005069"", ""id_default_site"" : 363924, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_FRA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
10008890,62768,"{""id"" : 62768, ""name"" : ""2250438"", ""t1t7"" : ""2250438"", ""vpn_id"" : ""10008890"", ""id_default_site"" : 371649, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_FRA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
3250,145581,"{""id"" : 145581, ""name"" : ""MVP Mumbai1"", ""t1t7"" : ""2398400"", ""vpn_id"" : ""3250"", ""id_default_site"" : 389612, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_IND_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
20000001,58093,"{""id"" : 58093, ""name"" : ""2265004"", ""t1t7"" : ""2265004"", ""vpn_id"" : ""20000001"", ""id_default_site"" : 348306, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_FRA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
10009274,66213,"{""id"" : 66213, ""name"" : ""2218532"", ""t1t7"" : ""2218532"", ""vpn_id"" : ""10009274"", ""id_default_site"" : 397534, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_FRA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
3610,143988,"{""id"" : 143988, ""name"" : ""298_Amman_SIP"", ""t1t7"" : ""2385582"", ""vpn_id"" : ""3610"", ""id_default_site"" : 40766, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_JOR_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
10000255,55312,"{""id"" : 55312, ""name"" : ""2220387"", ""t1t7"" : ""2220387"", ""vpn_id"" : ""10000255"", ""id_default_site"" : 336942, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_FRA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
3286,74041,"{""id"" : 74041, ""name"" : ""2325466"", ""t1t7"" : ""2325466"", ""vpn_id"" : ""3286"", ""id_default_site"" : 11302, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_FRA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
10002761,120805,"{""id"" : 120805, ""name"" : ""2216748"", ""t1t7"" : ""2216748"", ""vpn_id"" : ""10002761"", ""id_default_site"" : 195616, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_FRA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
3998,50117,"{""id"" : 50117, ""name"" : ""8014097_CME_US_Prim"", ""t1t7"" : ""8014097"", ""vpn_id"" : ""3998"", ""id_default_site"" : 312902, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""USA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
4187,85141,"{""id"" : 85141, ""name"" : ""2330560"", ""t1t7"" : ""2330560"", ""vpn_id"" : ""4187"", ""id_default_site"" : 15204, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_FRA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
10004607,65070,"{""id"" : 65070, ""name"" : ""2245433"", ""t1t7"" : ""2245433"", ""vpn_id"" : ""10004607"", ""id_default_site"" : 388401, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_FRA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
4985,64228,"{""id"" : 64228, ""name"" : ""RBC_PSYD3202_VGW204"", ""t1t7"" : ""2365238"", ""vpn_id"" : ""4985"", ""id_default_site"" : 380873, ""csp_customer_identifier"" : null, ""global_call_limiter"" : 2, ""scl_id"" : null, ""number_pre_analysis_name"" : ""GENERIC_CLI_PROCESSING"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
10005633,68432,"{""id"" : 68432, ""name"" : ""2214232"", ""t1t7"" : ""2214232"", ""vpn_id"" : ""10005633"", ""id_default_site"" : 413050, ""csp_customer_identifier"" : null, ""global_call_limiter"" : null, ""scl_id"" : null, ""number_pre_analysis_name"" : ""CLI_FRA_Default"", ""trusted_cli_policy"" : false, ""calling_cli_match_all_sites"" : false, ""equipment_type"" : ""SIPDA"", ""calling_site_cli_algo"" : ""DIV_FROM""}"
