id,site
376261,"{""id"": 376261, ""name"": ""ZP-DID United Kingdom"", ""state"": ""CLOSED"", ""it_key"": ""YY163822029F0"", ""pidflo"": ""<?xml version=\""1.0\"" encoding=\""UTF-8\""?><presence xmlns=\""urn:ietf:params:xml:ns:pidf\"" xmlns:gp=\""urn:ietf:params:xml:ns:pidf:geopriv10\"" xmlns:cl=\""urn:ietf:params:xml:ns:pidf:geopriv10:civicLoc\"" xmlns:btd=\""http://btd.orange-business.com\"" entity=\""pres:geotarget@btip.orange-business.com\""><tuple id=\""sg89ae\""><status><gp:geopriv><gp:location-info><cl:civicAddress><cl:country>GB</cl:country></cl:civicAddress></gp:location-info><gp:usage-rules></gp:usage-rules></gp:geopriv></status></tuple></presence>"", ""scl_id"": null, ""vpn_id"": ""7104"", ""site_town"": ""BTD"", ""site_type"": ""NORMAL_SINGLE_CONNECTED"", ""bcr_product"": ""RETAIL"", ""hkh_site_id"": ""376261"", ""country_code"": ""44"", ""country_name"": ""United Kingdom"", ""customer_name"": ""Demonet Zoom"", ""gvpn_ivr_flag"": ""0"", ""cdr_text_field"": null, ""dpac_off_local"": null, ""prefix_private"": ""000"", ""time_zone_name"": ""None"", ""reroute_profile"": null, ""default_cde_info"": ""999"", ""dto_for_incoming"": false, ""group_of_sa_equip"": ""None"", ""bcr_exception_list"": null, ""called_header_list"": [], ""customer_reference"": ""689082"", ""accounting_code_len"": 0, ""autocutoff_expcalls"": 0, ""calling_header_list"": [], ""global_call_limiter"": null, ""prefix_international"": ""00"", ""default_public_number"": ""440000000000"", ""incoming_call_limiter"": null, ""outgoing_call_limiter"": null, ""default_private_number"": ""44"", ""incoming_black_list_id"": null, ""max_connection_attempt"": 4, ""prefix_offnet_domestic"": ""0"", ""cdr_default_dw_acs_type"": 20, ""number_pre_analysis_name"": ""GBR_Default"", ""optional_accounting_code"": ""0"", ""call_screening_dto_for_outgoing"": true, ""call_screening_von_call_allowed"": true, ""call_screening_mobile_call_allowed"": true, ""call_screening_short_number_allowed"": true, ""call_screening_domestic_call_allowed"": false, ""call_screening_expensive_call_allowed"": true, ""call_screening_emergency_number_allowed"": false, ""call_screening_international_call_allowed"": false}"
377034,"{""id"": 377034, ""name"": ""EA_MAE_XOM_Chemical_Iberia_SL_Zoom"", ""state"": ""OPENED"", ""it_key"": ""YY163902775Li"", ""pidflo"": ""<?xml version=\""1.0\"" encoding=\""UTF-8\""?><presence xmlns=\""urn:ietf:params:xml:ns:pidf\"" xmlns:gp=\""urn:ietf:params:xml:ns:pidf:geopriv10\"" xmlns:cl=\""urn:ietf:params:xml:ns:pidf:geopriv10:civicLoc\"" xmlns:btd=\""http://btd.orange-business.com\"" entity=\""pres:geotarget@btip.orange-business.com\""><tuple id=\""sg89ae\""><status><gp:geopriv><gp:location-info><cl:civicAddress><cl:country>ES</cl:country><cl:A1>MADRID</cl:A1><cl:A3>Madrid</cl:A3><cl:A6>Paseo Doce Estrellas</cl:A6><cl:HNO>2</cl:HNO><cl:STS>Barajas</cl:STS><cl:PC>28042</cl:PC></cl:civicAddress></gp:location-info><gp:usage-rules></gp:usage-rules></gp:geopriv></status></tuple></presence>"", ""scl_id"": null, ""vpn_id"": ""3578"", ""site_town"": ""BTD"", ""site_type"": ""NORMAL_SINGLE_CONNECTED"", ""bcr_product"": ""RETAIL"", ""hkh_site_id"": ""377034"", ""country_code"": ""34"", ""country_name"": ""Spain"", ""customer_name"": ""EXXONMOBIL"", ""gvpn_ivr_flag"": ""0"", ""cdr_text_field"": null, ""dpac_off_local"": null, ""prefix_private"": ""000"", ""time_zone_name"": ""None"", ""reroute_profile"": null, ""default_cde_info"": ""999"", ""dto_for_incoming"": false, ""group_of_sa_equip"": ""None"", ""bcr_exception_list"": null, ""called_header_list"": [], ""customer_reference"": ""23651"", ""accounting_code_len"": 0, ""autocutoff_expcalls"": 0, ""calling_header_list"": [], ""global_call_limiter"": null, ""prefix_international"": ""00"", ""default_public_number"": ""34919025190"", ""incoming_call_limiter"": null, ""outgoing_call_limiter"": null, ""default_private_number"": ""34"", ""incoming_black_list_id"": null, ""max_connection_attempt"": 4, ""prefix_offnet_domestic"": ""0000"", ""cdr_default_dw_acs_type"": 20, ""number_pre_analysis_name"": ""ESP_Default"", ""optional_accounting_code"": ""0"", ""call_screening_dto_for_outgoing"": true, ""call_screening_von_call_allowed"": true, ""call_screening_mobile_call_allowed"": true, ""call_screening_short_number_allowed"": true, ""call_screening_domestic_call_allowed"": true, ""call_screening_expensive_call_allowed"": true, ""call_screening_emergency_number_allowed"": true, ""call_screening_international_call_allowed"": true}"
454,"{""id"": 454, ""name"": ""345-Johannesb_jnb271"", ""state"": ""OPENED"", ""it_key"": ""zz454"", ""pidflo"": ""<?xml version=\""1.0\"" encoding=\""UTF-8\""?><presence xmlns=\""urn:ietf:params:xml:ns:pidf\"" xmlns:gp=\""urn:ietf:params:xml:ns:pidf:geopriv10\"" xmlns:cl=\""urn:ietf:params:xml:ns:pidf:geopriv10:civicLoc\"" xmlns:btd=\""http://btd.orange-business.com\"" entity=\""pres:geotarget@btip.orange-business.com\""><tuple id=\""sg89ae\""><status><gp:geopriv><gp:location-info><cl:civicAddress><cl:country>ZA</cl:country><cl:A1>Gauteng</cl:A1><cl:A3>Sandton</cl:A3><cl:A4>Sunninghill</cl:A4><cl:A6>Eglin Road</cl:A6><cl:HNO>18</cl:HNO><cl:PC>2157</cl:PC><btd:ADDREXTINFO1>RSNK</btd:ADDREXTINFO1><btd:ADDREXTINFO2>SUNNINGHILL PARK-RSNK</btd:ADDREXTINFO2></cl:civicAddress></gp:location-info><gp:usage-rules></gp:usage-rules></gp:geopriv></status></tuple></presence>"", ""scl_id"": null, ""vpn_id"": ""3105"", ""site_town"": ""BTD Equant_Split"", ""site_type"": ""NORMAL_MULTI_CONNECTED"", ""bcr_product"": ""RETAIL"", ""hkh_site_id"": ""454"", ""country_code"": ""27"", ""country_name"": ""South Africa"", ""customer_name"": ""Orange Business Services (OBS) CVS (IN)"", ""gvpn_ivr_flag"": ""0"", ""cdr_text_field"": null, ""dpac_off_local"": null, ""prefix_private"": """", ""time_zone_name"": ""None"", ""reroute_profile"": null, ""default_cde_info"": ""923"", ""dto_for_incoming"": true, ""group_of_sa_equip"": ""SOUTH AFRICA"", ""bcr_exception_list"": null, ""called_header_list"": [], ""customer_reference"": ""6183"", ""accounting_code_len"": 0, ""autocutoff_expcalls"": 0, ""calling_header_list"": [], ""global_call_limiter"": null, ""prefix_international"": ""00"", ""default_public_number"": ""27115177000"", ""incoming_call_limiter"": null, ""outgoing_call_limiter"": null, ""default_private_number"": ""273457000"", ""incoming_black_list_id"": null, ""max_connection_attempt"": 6, ""prefix_offnet_domestic"": ""0"", ""cdr_default_dw_acs_type"": 20, ""number_pre_analysis_name"": ""zzz_ZAF_0_00___No_ES"", ""optional_accounting_code"": ""0"", ""call_screening_dto_for_outgoing"": true, ""call_screening_von_call_allowed"": true, ""call_screening_mobile_call_allowed"": true, ""call_screening_short_number_allowed"": true, ""call_screening_domestic_call_allowed"": true, ""call_screening_expensive_call_allowed"": true, ""call_screening_emergency_number_allowed"": false, ""call_screening_international_call_allowed"": true}"
377066,"{""id"": 377066, ""name"": ""HG.MORSBRONN"", ""state"": ""OPENED"", ""it_key"": ""CD0HJCDHCA"", ""pidflo"": null, ""scl_id"": null, ""vpn_id"": ""10003477"", ""site_town"": ""MORSBRONN LES BAINS"", ""site_type"": ""NORMAL_SINGLE_CONNECTED"", ""bcr_product"": ""BTIP"", ""hkh_site_id"": ""377066"", ""country_code"": ""33"", ""country_name"": ""France"", ""customer_name"": ""AASBR2"", ""gvpn_ivr_flag"": ""0"", ""cdr_text_field"": ""FT"", ""dpac_off_local"": null, ""prefix_private"": """", ""time_zone_name"": ""None"", ""reroute_profile"": null, ""default_cde_info"": ""999"", ""dto_for_incoming"": false, ""group_of_sa_equip"": ""None"", ""bcr_exception_list"": null, ""called_header_list"": [], ""customer_reference"": ""CD0HHHK880"", ""accounting_code_len"": 0, ""autocutoff_expcalls"": 0, ""calling_header_list"": [], ""global_call_limiter"": null, ""prefix_international"": ""00"", ""default_public_number"": ""33388057070"", ""incoming_call_limiter"": null, ""outgoing_call_limiter"": null, ""default_private_number"": ""33388057070"", ""incoming_black_list_id"": null, ""max_connection_attempt"": 4, ""prefix_offnet_domestic"": ""0"", ""cdr_default_dw_acs_type"": 20, ""number_pre_analysis_name"": ""FRA_Onnet_Empty"", ""optional_accounting_code"": ""1"", ""call_screening_dto_for_outgoing"": true, ""call_screening_von_call_allowed"": true, ""call_screening_mobile_call_allowed"": true, ""call_screening_short_number_allowed"": true, ""call_screening_domestic_call_allowed"": true, ""call_screening_expensive_call_allowed"": true, ""call_screening_emergency_number_allowed"": true, ""call_screening_international_call_allowed"": true}"
377027,"{""id"": 377027, ""name"": ""IT_Genova_001"", ""state"": ""OPENED"", ""it_key"": ""YY161968518R7"", ""pidflo"": ""<?xml version=\""1.0\"" encoding=\""UTF-8\""?><presence xmlns=\""urn:ietf:params:xml:ns:pidf\"" xmlns:gp=\""urn:ietf:params:xml:ns:pidf:geopriv10\"" xmlns:cl=\""urn:ietf:params:xml:ns:pidf:geopriv10:civicLoc\"" xmlns:btd=\""http://btd.orange-business.com\"" entity=\""pres:geotarget@btip.orange-business.com\""><tuple id=\""sg89ae\""><status><gp:geopriv><gp:location-info><cl:civicAddress><cl:country>IT</cl:country><cl:A1>GE</cl:A1><cl:A3>Genova</cl:A3><cl:A6>Dalmazia</cl:A6><cl:HNO>71</cl:HNO><cl:STS>lungobisagno</cl:STS><cl:PC>16141</cl:PC><btd:ADDREXTINFO1>00246440101</btd:ADDREXTINFO1></cl:civicAddress></gp:location-info><gp:usage-rules></gp:usage-rules></gp:geopriv></status></tuple></presence>"", ""scl_id"": null, ""vpn_id"": ""4853"", ""site_town"": ""BTD"", ""site_type"": ""NORMAL_SINGLE_CONNECTED"", ""bcr_product"": ""RETAIL"", ""hkh_site_id"": ""377027"", ""country_code"": ""39"", ""country_name"": ""Italy"", ""customer_name"": ""Hempel As"", ""gvpn_ivr_flag"": ""0"", ""cdr_text_field"": null, ""dpac_off_local"": null, ""prefix_private"": ""000"", ""time_zone_name"": ""None"", ""reroute_profile"": null, ""default_cde_info"": ""999"", ""dto_for_incoming"": false, ""group_of_sa_equip"": ""None"", ""bcr_exception_list"": null, ""called_header_list"": [], ""customer_reference"": ""6370"", ""accounting_code_len"": 0, ""autocutoff_expcalls"": 0, ""calling_header_list"": [], ""global_call_limiter"": null, ""prefix_international"": ""00"", ""default_public_number"": ""390108356947"", ""incoming_call_limiter"": null, ""outgoing_call_limiter"": null, ""default_private_number"": ""39"", ""incoming_black_list_id"": null, ""max_connection_attempt"": 4, ""prefix_offnet_domestic"": ""0"", ""cdr_default_dw_acs_type"": 20, ""number_pre_analysis_name"": ""ITA_Default"", ""optional_accounting_code"": ""0"", ""call_screening_dto_for_outgoing"": true, ""call_screening_von_call_allowed"": true, ""call_screening_mobile_call_allowed"": true, ""call_screening_short_number_allowed"": true, ""call_screening_domestic_call_allowed"": true, ""call_screening_expensive_call_allowed"": true, ""call_screening_emergency_number_allowed"": true, ""call_screening_international_call_allowed"": true}"
51006,"{""id"": 51006, ""name"": ""AUT_GMOAUT3"", ""state"": ""OPENED"", ""it_key"": ""zz51006"", ""pidflo"": null, ""scl_id"": null, ""vpn_id"": ""3512"", ""site_town"": null, ""site_type"": ""VIRTUAL_ONNET"", ""bcr_product"": ""RETAIL"", ""hkh_site_id"": ""51006"", ""country_code"": ""43"", ""country_name"": ""Austria"", ""customer_name"": ""OPEL Automobile GmbH"", ""gvpn_ivr_flag"": ""0"", ""cdr_text_field"": null, ""dpac_off_local"": null, ""prefix_private"": """", ""time_zone_name"": ""None"", ""reroute_profile"": null, ""default_cde_info"": null, ""dto_for_incoming"": true, ""group_of_sa_equip"": ""None"", ""bcr_exception_list"": null, ""called_header_list"": [], ""customer_reference"": ""23658"", ""accounting_code_len"": 0, ""autocutoff_expcalls"": 0, ""calling_header_list"": [], ""global_call_limiter"": null, ""prefix_international"": """", ""default_public_number"": ""43"", ""incoming_call_limiter"": null, ""outgoing_call_limiter"": null, ""default_private_number"": ""43"", ""incoming_black_list_id"": null, ""max_connection_attempt"": 4, ""prefix_offnet_domestic"": """", ""cdr_default_dw_acs_type"": 0, ""number_pre_analysis_name"": ""AUT_Default"", ""optional_accounting_code"": ""0"", ""call_screening_dto_for_outgoing"": true, ""call_screening_von_call_allowed"": true, ""call_screening_mobile_call_allowed"": true, ""call_screening_short_number_allowed"": false, ""call_screening_domestic_call_allowed"": true, ""call_screening_expensive_call_allowed"": true, ""call_screening_emergency_number_allowed"": false, ""call_screening_international_call_allowed"": true}"
51004,"{""id"": 51004, ""name"": ""GBR_GMOUK14"", ""state"": ""OPENED"", ""it_key"": ""zz51004"", ""pidflo"": null, ""scl_id"": null, ""vpn_id"": ""3512"", ""site_town"": null, ""site_type"": ""VIRTUAL_ONNET"", ""bcr_product"": ""RETAIL"", ""hkh_site_id"": ""51004"", ""country_code"": ""44"", ""country_name"": ""United Kingdom"", ""customer_name"": ""OPEL Automobile GmbH"", ""gvpn_ivr_flag"": ""0"", ""cdr_text_field"": null, ""dpac_off_local"": null, ""prefix_private"": """", ""time_zone_name"": ""None"", ""reroute_profile"": null, ""default_cde_info"": null, ""dto_for_incoming"": true, ""group_of_sa_equip"": ""None"", ""bcr_exception_list"": null, ""called_header_list"": [], ""customer_reference"": ""23658"", ""accounting_code_len"": 0, ""autocutoff_expcalls"": 0, ""calling_header_list"": [], ""global_call_limiter"": null, ""prefix_international"": """", ""default_public_number"": ""44"", ""incoming_call_limiter"": null, ""outgoing_call_limiter"": null, ""default_private_number"": ""44"", ""incoming_black_list_id"": null, ""max_connection_attempt"": 4, ""prefix_offnet_domestic"": """", ""cdr_default_dw_acs_type"": 0, ""number_pre_analysis_name"": ""GBR_Default"", ""optional_accounting_code"": ""0"", ""call_screening_dto_for_outgoing"": true, ""call_screening_von_call_allowed"": true, ""call_screening_mobile_call_allowed"": true, ""call_screening_short_number_allowed"": false, ""call_screening_domestic_call_allowed"": true, ""call_screening_expensive_call_allowed"": true, ""call_screening_emergency_number_allowed"": false, ""call_screening_international_call_allowed"": true}"
228478,"{""id"": 228478, ""name"": ""01243-LE-DESCHAUX"", ""state"": ""OPENED"", ""it_key"": ""CD091HDL26"", ""pidflo"": null, ""scl_id"": null, ""vpn_id"": ""10002046"", ""site_town"": ""LE DESCHAUX"", ""site_type"": ""NORMAL_SINGLE_CONNECTED"", ""bcr_product"": ""BTIP"", ""hkh_site_id"": ""228478"", ""country_code"": ""33"", ""country_name"": ""France"", ""customer_name"": ""ONF-VOIP"", ""gvpn_ivr_flag"": ""0"", ""cdr_text_field"": ""FT"", ""dpac_off_local"": null, ""prefix_private"": """", ""time_zone_name"": ""None"", ""reroute_profile"": null, ""default_cde_info"": ""999"", ""dto_for_incoming"": false, ""group_of_sa_equip"": ""None"", ""bcr_exception_list"": null, ""called_header_list"": [], ""customer_reference"": ""CD058GGVEE"", ""accounting_code_len"": 0, ""autocutoff_expcalls"": 0, ""calling_header_list"": [], ""global_call_limiter"": null, ""prefix_international"": ""00"", ""default_public_number"": ""33384820830"", ""incoming_call_limiter"": null, ""outgoing_call_limiter"": null, ""default_private_number"": ""33384820830"", ""incoming_black_list_id"": null, ""max_connection_attempt"": 4, ""prefix_offnet_domestic"": ""0"", ""cdr_default_dw_acs_type"": 20, ""number_pre_analysis_name"": ""FRA_Onnet_Empty"", ""optional_accounting_code"": ""1"", ""call_screening_dto_for_outgoing"": true, ""call_screening_von_call_allowed"": true, ""call_screening_mobile_call_allowed"": true, ""call_screening_short_number_allowed"": true, ""call_screening_domestic_call_allowed"": true, ""call_screening_expensive_call_allowed"": true, ""call_screening_emergency_number_allowed"": true, ""call_screening_international_call_allowed"": true}"
377149,"{""id"": 377149, ""name"": ""LUMINO_SUD_OUEST"", ""state"": ""OPENED"", ""it_key"": ""CD0H3TN6C0"", ""pidflo"": null, ""scl_id"": null, ""vpn_id"": ""10008149"", ""site_town"": ""BON ENCONTRE"", ""site_type"": ""NORMAL_SINGLE_CONNECTED"", ""bcr_product"": ""BTIP"", ""hkh_site_id"": ""377149"", ""country_code"": ""33"", ""country_name"": ""France"", ""customer_name"": ""BERTOGROUP"", ""gvpn_ivr_flag"": ""0"", ""cdr_text_field"": ""FT"", ""dpac_off_local"": null, ""prefix_private"": """", ""time_zone_name"": ""None"", ""reroute_profile"": null, ""default_cde_info"": ""999"", ""dto_for_incoming"": false, ""group_of_sa_equip"": ""None"", ""bcr_exception_list"": null, ""called_header_list"": [], ""customer_reference"": ""CD0DYV2539"", ""accounting_code_len"": 0, ""autocutoff_expcalls"": 0, ""calling_header_list"": [], ""global_call_limiter"": null, ""prefix_international"": ""00"", ""default_public_number"": ""33553878382"", ""incoming_call_limiter"": null, ""outgoing_call_limiter"": null, ""default_private_number"": ""33553878382"", ""incoming_black_list_id"": null, ""max_connection_attempt"": 4, ""prefix_offnet_domestic"": ""0"", ""cdr_default_dw_acs_type"": 20, ""number_pre_analysis_name"": ""FRA_Onnet_Empty"", ""optional_accounting_code"": ""1"", ""call_screening_dto_for_outgoing"": true, ""call_screening_von_call_allowed"": true, ""call_screening_mobile_call_allowed"": true, ""call_screening_short_number_allowed"": true, ""call_screening_domestic_call_allowed"": true, ""call_screening_expensive_call_allowed"": true, ""call_screening_emergency_number_allowed"": true, ""call_screening_international_call_allowed"": true}"
27541,"{""id"": 27541, ""name"": ""LIL-0261705000AE-GA"", ""state"": ""OPENED"", ""it_key"": ""CD01AZCBE1"", ""pidflo"": null, ""scl_id"": null, ""vpn_id"": ""3248"", ""site_town"": ""MERU"", ""site_type"": ""NORMAL_SINGLE_CONNECTED"", ""bcr_product"": ""BTIP"", ""hkh_site_id"": ""27541"", ""country_code"": ""33"", ""country_name"": ""France"", ""customer_name"": ""EuroInformation (Transpac)"", ""gvpn_ivr_flag"": ""0"", ""cdr_text_field"": ""FT"", ""dpac_off_local"": null, ""prefix_private"": """", ""time_zone_name"": ""None"", ""reroute_profile"": null, ""default_cde_info"": ""845"", ""dto_for_incoming"": true, ""group_of_sa_equip"": ""None"", ""bcr_exception_list"": null, ""called_header_list"": [], ""customer_reference"": ""662025"", ""accounting_code_len"": 0, ""autocutoff_expcalls"": 0, ""calling_header_list"": [], ""global_call_limiter"": 4, ""prefix_international"": ""00"", ""default_public_number"": ""33344227640"", ""incoming_call_limiter"": 4, ""outgoing_call_limiter"": 4, ""default_private_number"": ""334607640"", ""incoming_black_list_id"": null, ""max_connection_attempt"": 4, ""prefix_offnet_domestic"": ""0"", ""cdr_default_dw_acs_type"": 20, ""number_pre_analysis_name"": ""FRA_Onnet_Empty"", ""optional_accounting_code"": ""0"", ""call_screening_dto_for_outgoing"": true, ""call_screening_von_call_allowed"": false, ""call_screening_mobile_call_allowed"": true, ""call_screening_short_number_allowed"": true, ""call_screening_domestic_call_allowed"": true, ""call_screening_expensive_call_allowed"": true, ""call_screening_emergency_number_allowed"": true, ""call_screening_international_call_allowed"": true}"
