id,vpn_code,data
69053,3552,"{""id"" : 69053, ""name"" : ""3552_SCL_11224"", ""global_call_limiter"" : 5, ""outgoing_call_limiter"" : null, ""incoming_call_limiter"" : null, ""vpn_id"" : ""3552"", ""resource_type"" : ""SAN""}"
69054,3552,"{""id"" : 69054, ""name"" : ""3552_SCL_11225"", ""global_call_limiter"" : 5, ""outgoing_call_limiter"" : null, ""incoming_call_limiter"" : null, ""vpn_id"" : ""3552"", ""resource_type"" : ""SAN""}"
69055,3552,"{""id"" : 69055, ""name"" : ""3552_SCL_11226"", ""global_call_limiter"" : 6, ""outgoing_call_limiter"" : null, ""incoming_call_limiter"" : null, ""vpn_id"" : ""3552"", ""resource_type"" : ""SAN""}"
69050,3552,"{""id"" : 69050, ""name"" : ""3552_SCL_11220"", ""global_call_limiter"" : 5, ""outgoing_call_limiter"" : null, ""incoming_call_limiter"" : null, ""vpn_id"" : ""3552"", ""resource_type"" : ""SAN""}"
69051,3552,"{""id"" : 69051, ""name"" : ""3552_SCL_11221"", ""global_call_limiter"" : 7, ""outgoing_call_limiter"" : null, ""incoming_call_limiter"" : null, ""vpn_id"" : ""3552"", ""resource_type"" : ""SAN""}"
69052,3552,"{""id"" : 69052, ""name"" : ""3552_SCL_11222"", ""global_call_limiter"" : 10, ""outgoing_call_limiter"" : null, ""incoming_call_limiter"" : null, ""vpn_id"" : ""3552"", ""resource_type"" : ""SAN""}"
1621,3142,"{""id"" : 1621, ""name"" : ""TFE_Brunei"", ""global_call_limiter"" : 6, ""outgoing_call_limiter"" : 6, ""incoming_call_limiter"" : 6, ""vpn_id"" : ""3142"", ""resource_type"" : ""SITE""}"
1911,3453,"{""id"" : 1911, ""name"" : ""Alcatel_SRF"", ""global_call_limiter"" : 72, ""outgoing_call_limiter"" : 72, ""incoming_call_limiter"" : 72, ""vpn_id"" : ""3453"", ""resource_type"" : ""SITE""}"
2326,3938,"{""id"" : 2326, ""name"" : ""Distri_Cash_SCL_1"", ""global_call_limiter"" : 60, ""outgoing_call_limiter"" : 60, ""incoming_call_limiter"" : 60, ""vpn_id"" : ""3938"", ""resource_type"" : ""SITE""}"
427360,10002272,"{""id"" : 427360, ""name"" : ""CD05VC6297"", ""global_call_limiter"" : 2000, ""outgoing_call_limiter"" : 2000, ""incoming_call_limiter"" : 2000, ""vpn_id"" : ""10002272"", ""resource_type"" : ""SITE""}"
427153,10004522,"{""id"" : 427153, ""name"" : ""CD0MMF5P8B"", ""global_call_limiter"" : 2, ""outgoing_call_limiter"" : 2, ""incoming_call_limiter"" : 2, ""vpn_id"" : ""10004522"", ""resource_type"" : ""SITE""}"
18075,5133,"{""id"" : 18075, ""name"" : ""CLINIQUE_5133_scl_1"", ""global_call_limiter"" : 19, ""outgoing_call_limiter"" : 19, ""incoming_call_limiter"" : 19, ""vpn_id"" : ""5133"", ""resource_type"" : ""SITE""}"
429042,10002804,"{""id"" : 429042, ""name"" : ""CD0NGNSA95"", ""global_call_limiter"" : 15, ""outgoing_call_limiter"" : 15, ""incoming_call_limiter"" : 15, ""vpn_id"" : ""10002804"", ""resource_type"" : ""SITE""}"
415371,10003651,"{""id"" : 415371, ""name"" : ""CD0LAHF7DC"", ""global_call_limiter"" : 600, ""outgoing_call_limiter"" : 600, ""incoming_call_limiter"" : 600, ""vpn_id"" : ""10003651"", ""resource_type"" : ""SITE""}"
426864,10002129,"{""id"" : 426864, ""name"" : ""CD05LA7AE8"", ""global_call_limiter"" : 2000, ""outgoing_call_limiter"" : 2000, ""incoming_call_limiter"" : 2000, ""vpn_id"" : ""10002129"", ""resource_type"" : ""SITE""}"
3143,3397,"{""id"" : 3143, ""name"" : ""UAPL_SLC_1"", ""global_call_limiter"" : 39, ""outgoing_call_limiter"" : 39, ""incoming_call_limiter"" : 39, ""vpn_id"" : ""3397"", ""resource_type"" : ""SITE""}"
426989,10009113,"{""id"" : 426989, ""name"" : ""CD0MX651CA"", ""global_call_limiter"" : 130, ""outgoing_call_limiter"" : 130, ""incoming_call_limiter"" : 130, ""vpn_id"" : ""10009113"", ""resource_type"" : ""SITE""}"
427359,10002272,"{""id"" : 427359, ""name"" : ""CD05VCD590"", ""global_call_limiter"" : 2000, ""outgoing_call_limiter"" : 2000, ""incoming_call_limiter"" : 2000, ""vpn_id"" : ""10002272"", ""resource_type"" : ""SITE""}"
422228,4067,"{""id"" : 422228, ""name"" : ""CD0DQ4DZ1A"", ""global_call_limiter"" : 5, ""outgoing_call_limiter"" : 5, ""incoming_call_limiter"" : 5, ""vpn_id"" : ""4067"", ""resource_type"" : ""SITE""}"
4074,3369,"{""id"" : 4074, ""name"" : ""MAS_SLC3"", ""global_call_limiter"" : 8, ""outgoing_call_limiter"" : 8, ""incoming_call_limiter"" : 8, ""vpn_id"" : ""3369"", ""resource_type"" : ""SITE""}"
4075,3369,"{""id"" : 4075, ""name"" : ""MAS_SLC4"", ""global_call_limiter"" : 8, ""outgoing_call_limiter"" : 8, ""incoming_call_limiter"" : 8, ""vpn_id"" : ""3369"", ""resource_type"" : ""SITE""}"
73929,3512,"{""id"" : 73929, ""name"" : ""3512_SCL_11311"", ""global_call_limiter"" : 6, ""outgoing_call_limiter"" : null, ""incoming_call_limiter"" : null, ""vpn_id"" : ""3512"", ""resource_type"" : ""SAN""}"
73930,3512,"{""id"" : 73930, ""name"" : ""3512_SCL_11312"", ""global_call_limiter"" : 9, ""outgoing_call_limiter"" : null, ""incoming_call_limiter"" : null, ""vpn_id"" : ""3512"", ""resource_type"" : ""SAN""}"
73931,3512,"{""id"" : 73931, ""name"" : ""3512_SCL_11314"", ""global_call_limiter"" : 21, ""outgoing_call_limiter"" : null, ""incoming_call_limiter"" : null, ""vpn_id"" : ""3512"", ""resource_type"" : ""SAN""}"
3472,3880,"{""id"" : 3472, ""name"" : ""Audatex_System_SLC_1"", ""global_call_limiter"" : 36, ""outgoing_call_limiter"" : 36, ""incoming_call_limiter"" : 36, ""vpn_id"" : ""3880"", ""resource_type"" : ""SITE""}"
3473,3880,"{""id"" : 3473, ""name"" : ""Audatex_System_SLC_2"", ""global_call_limiter"" : 20, ""outgoing_call_limiter"" : 10, ""incoming_call_limiter"" : 10, ""vpn_id"" : ""3880"", ""resource_type"" : ""SITE""}"
419595,10000288,"{""id"" : 419595, ""name"" : ""CD02U7Z1C3"", ""global_call_limiter"" : 143, ""outgoing_call_limiter"" : 143, ""incoming_call_limiter"" : 143, ""vpn_id"" : ""10000288"", ""resource_type"" : ""SITE""}"
418066,3756,"{""id"" : 418066, ""name"" : ""CD00EZJQE6"", ""global_call_limiter"" : 40, ""outgoing_call_limiter"" : 40, ""incoming_call_limiter"" : 40, ""vpn_id"" : ""3756"", ""resource_type"" : ""SITE""}"
418069,10007191,"{""id"" : 418069, ""name"" : ""CD0LB27VA2"", ""global_call_limiter"" : 30, ""outgoing_call_limiter"" : 30, ""incoming_call_limiter"" : 30, ""vpn_id"" : ""10007191"", ""resource_type"" : ""SITE""}"
4892,3944,"{""id"" : 4892, ""name"" : ""CD00H2YV91"", ""global_call_limiter"" : 40, ""outgoing_call_limiter"" : 40, ""incoming_call_limiter"" : 40, ""vpn_id"" : ""3944"", ""resource_type"" : ""SITE""}"
4893,3393,"{""id"" : 4893, ""name"" : ""AASTRA-MATRA_SLC_1"", ""global_call_limiter"" : 50, ""outgoing_call_limiter"" : 50, ""incoming_call_limiter"" : 50, ""vpn_id"" : ""3393"", ""resource_type"" : ""SITE""}"
4894,3899,"{""id"" : 4894, ""name"" : ""MUTUELLE_SLC_1"", ""global_call_limiter"" : 11, ""outgoing_call_limiter"" : 11, ""incoming_call_limiter"" : 11, ""vpn_id"" : ""3899"", ""resource_type"" : ""SITE""}"
4896,3367,"{""id"" : 4896, ""name"" : ""Dijon_Cereales_SLC_1"", ""global_call_limiter"" : 40, ""outgoing_call_limiter"" : 40, ""incoming_call_limiter"" : 40, ""vpn_id"" : ""3367"", ""resource_type"" : ""SITE""}"
4897,3459,"{""id"" : 4897, ""name"" : ""Trans_Caillot_SLC_1"", ""global_call_limiter"" : 35, ""outgoing_call_limiter"" : 35, ""incoming_call_limiter"" : 35, ""vpn_id"" : ""3459"", ""resource_type"" : ""SITE""}"
4898,3436,"{""id"" : 4898, ""name"" : ""Austrian_MOFA_SLC_1"", ""global_call_limiter"" : 50, ""outgoing_call_limiter"" : 50, ""incoming_call_limiter"" : 50, ""vpn_id"" : ""3436"", ""resource_type"" : ""SITE""}"
4899,3765,"{""id"" : 4899, ""name"" : ""BODET_SA_SLC_1"", ""global_call_limiter"" : 15, ""outgoing_call_limiter"" : 15, ""incoming_call_limiter"" : 15, ""vpn_id"" : ""3765"", ""resource_type"" : ""SITE""}"
418184,10003111,"{""id"" : 418184, ""name"" : ""CD0LN7QFAC"", ""global_call_limiter"" : 40, ""outgoing_call_limiter"" : 40, ""incoming_call_limiter"" : 40, ""vpn_id"" : ""10003111"", ""resource_type"" : ""SITE""}"
